call_id, lat, lng, call_time, total_time, vehicle_num,amb_segment_id
20100012232606,17.51222222,78.51861111,11/15/10 21:24:34,26,AP29U4225,5494
20100012232613,17.3862519,78.4761368,11/15/10 21:24:43,17,AP28TA3631,789
20100012232778,17.3683753,78.5301903,11/15/10 21:31:03,29,AP28TA2981,847
20100012232973,17.4592483,78.3214049,11/15/10 21:36:42,31,AP29TA4911,5507
20100012233369,17.3762894,78.4949434,11/15/10 21:51:43,48,AP28W7689,796
20100012234251,17.32416667,78.41805556,11/15/10 22:33:47,22,AP29TA3107,5517
20100012234928,17.25416667,77.69916667,11/15/10 23:21:13,37,AP29TA3330,826
20100012236054,17.37277778,78.2625,11/16/10 1:04:07,31,AP28W8394,5499
20100012236098,17.51222222,78.51861111,11/16/10 1:07:41,42,AP29U4225,5494
20100012236304,17.22416667,78.30444444,11/16/10 1:36:18,50,AP28TA3617,5493
20100012236397,17.5127407,78.4475328,11/16/10 2:02:02,28,AP28W9300,779
20100012237220,17.385044,78.486671,11/16/10 5:12:10,43,AP29TA4985,792
20100012237479,17.42222222,78.55833333,11/16/10 5:52:25,24,AP29U4259,787
20100012238588,17.3936462,78.4400235,11/16/10 6:57:15,46,AP28W7689,796
20100012240824,17.51222222,78.51861111,11/16/10 8:46:16,44,AP29U4225,5494
20100012240857,17.3891379,77.8367282,11/16/10 8:48:11,24,AP29TA3771,1112
20100012241457,17.4137713,78.4612226,11/16/10 9:17:38,33,AP28TA2980,788
20100012241675,17.51472222,78.44777778,11/16/10 9:28:28,46,AP29U4225,5494
20100012242970,17.35,77.81833333,11/16/10 10:22:56,135,AP28W9034,783
20100012244913,17.44972222,78.68444444,11/16/10 11:36:34,35,AP29U6089,467
20100012246146,17.385044,78.486671,11/16/10 12:16:51,48,AP29TA3325,556
20100012248217,17.33472222,78.32861111,11/16/10 13:23:36,29,AP29U4226,1370
20100012248779,17.29333333,77.86416667,11/16/10 13:38:39,22,AP28W8394,5499
20100012249204,17.11472222,77.87027778,11/16/10 13:50:48,37,AP28TA2991,1023
20100012251118,17.13222222,78.43611111,11/16/10 14:40:11,49,AP29U6434,254
20100012252566,17.3989544,78.4624064,11/16/10 15:19:11,84,AP29U6434,254
20100012252732,17.3989544,78.4624064,11/16/10 15:23:34,42,AP29TA3719,686
20100012252738,17.4125254,78.4604944,11/16/10 15:23:46,22,AP28TA2980,788
20100012252757,17.3957323,78.4412297,11/16/10 15:24:16,36,AP28W4790,5515
20100012256087,17.19638889,78.65194444,11/16/10 16:58:02,68,AP29U6432,5496
20100012256663,17.385044,78.486671,11/16/10 17:13:27,61,AP28W9034,783
20100012257885,17.3862519,78.4761368,11/16/10 17:44:57,31,AP28TA2980,788
20100012260162,17.32416667,78.41805556,11/16/10 18:42:54,40,AP29TA4911,5507
20100012260879,17.4282454,78.5405304,11/16/10 19:01:08,39,AP29TA4705,5495
20100012260906,17.35,77.81833333,11/16/10 19:01:45,49,AP29TA3330,826
20100012261254,17.44972222,78.68444444,11/16/10 19:11:34,84,AP29TA3325,556
20100012261738,17.4109076,78.4801671,11/16/10 19:24:59,50,AP29TA4985,792
20100012262706,17.44111111,78.60138889,11/16/10 19:47:41,41,AP29U4259,787
20100012262949,17.3964986,78.5298096,11/16/10 19:54:19,36,AP29TA3105,799
20100012263323,16.96194444,77.80888889,11/16/10 20:03:48,59,AP29TA3306,781
20100012265325,17.385044,78.486671,11/16/10 21:03:43,36,AP29TA3630,897
20100012265347,17.51472222,78.44777778,11/16/10 21:04:14,35,AP29TA3306,781
20100012265651,17.36527778,78.52888889,11/16/10 21:13:01,57,AP29TA3300,1345
20100012266502,17.36527778,78.52888889,11/16/10 21:47:55,30,AP28W4644,797
20100012267055,17.32416667,78.41805556,11/16/10 22:16:34,26,AP29TA3107,5517
20100012267573,17.385044,78.486671,11/16/10 22:50:48,39,AP29TA3650,802
20100012267664,17.25416667,77.69916667,11/16/10 22:58:43,56,AP28W9034,783
20100012267742,17.3683753,78.5301903,11/16/10 23:04:18,56,AP28W7689,796
20100012267834,17.4224217,78.5384121,11/16/10 23:12:07,40,AP29TA4985,792
20100012268076,17.385044,78.486671,11/16/10 23:33:56,41,AP29TA3630,897
20100012268738,17.385044,78.486671,11/17/10 0:26:12,22,AP29TA3691,795
20100012268799,17.3437225,78.5070445,11/17/10 0:33:06,29,AP28W7689,796
20100012268870,17.4249658,78.4030633,11/17/10 0:39:00,31,AP28W4790,5515
20100012269048,17.3437225,78.5070445,11/17/10 0:56:30,34,AP29TA3300,1345
20100012270370,17.16944444,77.79555556,11/17/10 5:39:58,20,AP28W9035,5497
20100012272322,17.36527778,78.52888889,11/17/10 7:21:35,29,AP29TA3300,1345
20100012275147,17.47305556,78.42305556,11/17/10 9:06:38,42,AP28TA3122,775
20100012276221,17.4282454,78.5405304,11/17/10 9:45:23,34,AP29TA4705,5495
20100012276988,17.44111111,77.70916667,11/17/10 10:06:05,94,AP29TA3107,5517
20100012277157,17.35222222,78.57333333,11/17/10 10:10:35,34,AP28W4643,5482
20100012277732,17.41833333,78.63,11/17/10 10:25:57,29,AP29U4259,787
20100012278040,17.458798,78.3672415,11/17/10 10:34:59,57,AP29TA3331,780
20100012278348,17.26888889,78.09805556,11/17/10 10:43:03,65,AP29U4238,704
20100012280857,17.0125,77.87694444,11/17/10 11:49:20,120,AP29U6191,698
20100012281598,17.385044,78.486671,11/17/10 12:09:48,39,AP28TA3653,815
20100012281921,17.0125,77.87694444,11/17/10 12:17:38,87,AP29TA3719,686
20100012282769,17.18,78.7075,11/17/10 12:42:53,21,AP29U6122,446
20100012283023,17.0125,77.87694444,11/17/10 12:49:26,50,AP29TA3325,556
20100012286694,17.385044,78.486671,11/17/10 14:15:23,24,AP29TA3301,790
20100012287255,17.385044,78.486671,11/17/10 14:26:19,52,AP28W9036,1247
20100012288316,17.3957323,78.4412297,11/17/10 14:51:56,48,AP28TA3631,789
20100012288507,17.25611111,77.56,11/17/10 14:56:09,110,AP29U6434,254
20100012291141,17.24166667,77.62111111,11/17/10 15:53:18,66,AP29U4236,5479
20100012292123,17.374445,78.505896,11/17/10 16:15:57,36,AP28TA2981,847
20100012292402,17.3616156,78.4760474,11/17/10 16:22:10,124,AP29TA3487,803
20100012292705,17.385044,78.486671,11/17/10 16:28:50,31,AP28W9036,1247
20100012292785,17.3437225,78.5070445,11/17/10 16:31:19,18,AP28W7689,796
20100012293435,17.4300923,78.4498785,11/17/10 16:48:13,27,AP28TA2991,1023
20100012293927,17.385044,78.486671,11/17/10 17:01:33,47,AP29TA3107,5517
20100012294130,17.42944444,78.58694444,11/17/10 17:08:21,17,AP29U4259,787
20100012297525,17.3891379,77.8367282,11/17/10 18:34:50,50,AP28TA3122,775
20100012297811,17.4249658,78.4030633,11/17/10 18:41:27,58,AP29TA3691,795
20100012299166,17.458798,78.3672415,11/17/10 19:15:26,35,AP29TA4911,5507
20100012299534,17.50583333,78.68916667,11/17/10 19:25:10,18,AP29TA3325,556
20100012299929,17.3250659,78.479368,11/17/10 19:34:29,57,AP28W9202,805
20100012303136,17.4042154,78.4522006,11/17/10 21:13:20,33,AP28TA3631,789
20100012303601,17.45166667,78.13305556,11/17/10 21:30:09,60,AP29TA3484,682
20100012303961,17.4362171,78.5187947,11/17/10 21:43:45,38,AP29TA4705,5495
20100012304156,17.42222222,78.55833333,11/17/10 21:51:22,32,AP29U4259,787
20100012304185,17.10972222,77.82527778,11/17/10 21:52:46,33,AP28W4790,5515
20100012304210,17.385044,78.486671,11/17/10 21:53:46,41,AP28W4644,797
20100012304506,17.61388889,78.51944444,11/17/10 22:08:03,38,AP28W9034,783
20100012305438,17.3999666,78.4485509,11/17/10 23:20:13,30,AP28TA3631,789
20100012305671,17.3891379,77.8367282,11/17/10 23:46:37,43,AP29TA3771,1112
20100012306020,17.36527778,78.52888889,11/18/10 0:30:51,34,AP28TA2981,847
20100012306217,17.3295253,78.5999303,11/18/10 0:57:52,32,AP29TA3630,897
20100012306714,17.51222222,78.51861111,11/18/10 2:54:31,55,AP28W9034,783
20100012309396,17.66611111,78.47194444,11/18/10 7:39:08,51,AP28TA3122,775
20100012311126,17.385044,78.486671,11/18/10 8:55:55,30,AP29TA3650,802
20100012311180,17.4586519,78.5382368,11/18/10 8:58:09,34,AP29TA3330,826
20100012312519,17.3984144,78.4869592,11/18/10 9:55:02,60,AP29TA4985,792
20100012314985,17.36527778,78.52888889,11/18/10 11:16:30,28,AP28W4643,5482
20100012315362,17.35,77.81833333,11/18/10 11:28:43,27,AP29U4259,787
20100012316000,17.47305556,78.42305556,11/18/10 11:50:56,36,AP29TA3306,781
20100012316247,17.385044,78.486671,11/18/10 11:59:44,45,AP29U4259,787
20100012316624,17.33805556,77.52083333,11/18/10 12:12:11,28,AP29U4240,5512
20100012317891,17.305,78.4925,11/18/10 12:52:29,58,AP29TA3300,1345
20100012319089,17.430049,78.4111091,11/18/10 13:29:48,40,AP29TA3691,795
20100012319611,17.4224217,78.5384121,11/18/10 13:45:44,54,AP29TA3105,799
20100012320199,17.32416667,78.41805556,11/18/10 14:03:10,45,AP29TA3650,802
20100012320903,17.35,77.81833333,11/18/10 14:23:36,47,AP29TA3330,826
20100012322157,17.385044,78.486671,11/18/10 15:01:35,16,AP28W4790,5515
20100012323621,17.4249658,78.4030633,11/18/10 15:41:39,30,AP28W4790,5515
20100012324280,17.37277778,78.2625,11/18/10 16:01:25,40,AP29U6122,446
20100012325486,17.385044,78.486671,11/18/10 16:36:29,64,AP28W9202,805
20100012325822,17.45916667,78.54611111,11/18/10 16:45:59,48,AP28W9034,783
20100012326905,17.385044,78.486671,11/18/10 17:17:32,52,AP28W3817,1042
20100012327101,17.30361111,78.59583333,11/18/10 17:24:04,21,AP28TA3122,775
20100012327385,17.33777778,77.91777778,11/18/10 17:33:17,25,AP29TA3106,658
20100012329500,17.4461699,78.5083895,11/18/10 18:33:40,61,AP29TA3301,790
20100012330890,17.42222222,78.55833333,11/18/10 19:11:03,41,AP29U4259,787
20100012332152,17.32416667,78.41805556,11/18/10 19:43:49,16,AP29TA3107,5517
20100012332890,17.3250659,78.479368,11/18/10 20:04:18,72,AP29TA3300,1345
20100012333092,17.3250659,78.479368,11/18/10 20:09:49,31,AP29U4685,253
20100012333627,17.39944444,78.30111111,11/18/10 20:23:54,46,AP29TA3107,5517
20100012336436,17.62833333,78.48305556,11/18/10 22:01:03,74,AP29U4250,962
20100012336495,17.4249831,78.5354721,11/18/10 22:03:30,17,AP29TA4705,5495
20100012337008,17.3465574,78.5082989,11/18/10 22:30:01,30,AP28W4644,797
20100012337058,17.3616156,78.4760474,11/18/10 22:33:40,46,AP28W7689,796
20100012337502,17.385044,78.486671,11/18/10 23:11:54,33,AP28W4644,797
20100012337552,17.3250659,78.479368,11/18/10 23:17:54,57,AP28W9202,805
20100012337785,17.4251348,78.561826,11/18/10 23:38:28,41,AP29U4259,787
20100012337916,17.4416365,78.4453532,11/18/10 23:55:43,19,AP28TA2991,1023
20100012337920,17.4416365,78.4453532,11/18/10 23:56:00,62,AP28W4644,797
20100012338385,17.3638489,78.5348507,11/19/10 1:04:40,38,AP28W4643,5482
20100012338387,17.385044,78.486671,11/19/10 1:04:54,24,AP29TA3691,795
20100012339500,17.4177711,78.4820264,11/19/10 4:02:30,32,AP29TA3301,790
20100012342930,17.61388889,78.51944444,11/19/10 8:29:08,32,AP29TA3330,826
20100012344992,17.385044,78.486671,11/19/10 9:54:19,42,AP28TA2980,788
